youtubeid,name,description
oIrT1eHs1b0,David_Goggins_____,Ultra sport man_____________
ipVrphmIIkQ,David_Goggins_____,Ultra sport man_____________
u_ktRTWMX3M,Arnold____________,Mr Universe_________________
YCfFcGHQFck,Tony_Robins_______,Tony Robins_________________
N1nUjWKKVa8,Sadhguru__________,The guru____________________
ESYYby1FuPc,Joe_Rogan_________,Joe Rogan___________________
tOYgiWEoJgs,Jocko_Willink_____,Jocko Willink_______________
XythG7u3cIM,Jordan Peterson___,Jordan Peterson_____________
W5tlGJwvmCQ,The_Rock__________,Dwayne The Rock Johnsonon___
ukzIG0bLU_Q,Jacinto Bonilla   ,80+ Year crossfit legendend_
_OUdO2Y_Mm8,Unknown           ,72 Year crossfit legendnd___
QAjfvEn6fGw,Fitness motivation,Fitness motivation__________
9eWuuNae2Ew,Best of Judo______,Top 20 ippons 2019__________
yl8hiSHuhiI,Kitesurfing_______,Best of 2018________________
spqXq9Z6xio,Kitesurfing_______,Girls of Kitesurfing________
